date,amount,description,category,paymentMethod,tags
2025-10-14,59900,"Spotify | Subscription",Subscriptions,CREDIT_CARD,"music,spotify,subscription"
2025-10-14,125400,"AlfaMidi",Groceries,CREDIT_CARD,"groceries,supermarket"
2025-10-14,41000,"Grab (4AV)",Transport,CREDIT_CARD,"ride-hailing,grab"
2025-10-15,40000,"Grab (2AV)",Transport,CREDIT_CARD,"ride-hailing,grab"
2025-10-15,43500,"Grab (PAV)",Transport,CREDIT_CARD,"ride-hailing,grab"
2025-10-15,50000,"Grab (DAV)",Transport,CREDIT_CARD,"ride-hailing,grab"
2025-10-15,49375,"Grab (DAV)",Transport,CREDIT_CARD,"ride-hailing,grab"
2025-10-15,30000,"Grab (TAV)",Transport,CREDIT_CARD,"ride-hailing,grab"
2025-10-15,34500,"Grab (TAV)",Transport,CREDIT_CARD,"ride-hailing,grab"
2025-10-15,63500,"Grab (BAV)",Transport,CREDIT_CARD,"ride-hailing,grab"
2025-10-15,109200,"Grab (QAV)",Transport,CREDIT_CARD,"ride-hailing,grab"
2025-10-16,51849,"Good Doctor (1/3 installment)",Health,CREDIT_CARD,"doctor,installment"
2025-10-16,54570,"Pajak Motor (1/6 installment)",Transport,CREDIT_CARD,"tax,vehicle,installment"
2025-10-16,48217,"Popeyes (1/3 installment)",Food & Dining,CREDIT_CARD,"restaurant,fast-food,installment"
2025-10-16,57048,"Tokopedia (1/3 installment)",Shopping,CREDIT_CARD,"tokopedia,online,installment"
2025-10-16,66054,"Gopay-Gojek (1/3 installment)",Transport,CREDIT_CARD,"gopay,gojek,installment"
2025-10-16,115788,"Steam Purchase (1/3 installment)",Entertainment,CREDIT_CARD,"steam,gaming,installment"
2025-10-16,135918,"CV Rumahweb (1/3 installment)",Subscriptions,CREDIT_CARD,"hosting,domain,installment"
2025-10-16,52800,"Idm (1/3 installment)",Software,CREDIT_CARD,"idm,software,installment"
2025-10-16,43334,"Martabak Pecenongan (1/3 installment)",Food & Dining,CREDIT_CARD,"restaurant,installment"
2025-10-16,41800,"AlfaMidi (1/3 installment)",Groceries,CREDIT_CARD,"groceries,supermarket,installment"
2025-10-16,41000,"Hisana Pisangan 6",Food & Dining,CREDIT_CARD,"restaurant,fast-food"
2025-10-16,513264,"LinkedIn Premium",Subscriptions,CREDIT_CARD,"linkedin,subscription"
2025-10-16,2700,"Admin fee",Fees & Charges,CREDIT_CARD,"fee,bank"
2025-10-16,2700,"Admin fee",Fees & Charges,CREDIT_CARD,"fee,bank"
2025-10-16,2700,"Admin fee",Fees & Charges,CREDIT_CARD,"fee,bank"
2025-10-16,2700,"Admin fee",Fees & Charges,CREDIT_CARD,"fee,bank"
2025-10-16,2700,"Admin fee",Fees & Charges,CREDIT_CARD,"fee,bank"
2025-10-16,2700,"Admin fee",Fees & Charges,CREDIT_CARD,"fee,bank"
2025-10-16,2700,"Admin fee",Fees & Charges,CREDIT_CARD,"fee,bank"
2025-10-16,2700,"Admin fee",Fees & Charges,CREDIT_CARD,"fee,bank"
2025-10-16,2700,"Admin fee",Fees & Charges,CREDIT_CARD,"fee,bank"
2025-10-16,2700,"Admin fee",Fees & Charges,CREDIT_CARD,"fee,bank"
2025-10-17,65335,"Grab (NAV)",Transport,CREDIT_CARD,"ride-hailing,grab"
2025-10-17,2700,"Admin fee",Fees & Charges,CREDIT_CARD,"fee,bank"
2025-10-18,21400,"Good Doctor",Health,CREDIT_CARD,"doctor"
2025-10-18,20000,"Grab (FAV)",Transport,CREDIT_CARD,"ride-hailing,grab"
2025-10-18,147875,"Grab (FAV)",Transport,CREDIT_CARD,"ride-hailing,grab"
2025-10-19,108500,"Mcd",Food & Dining,CREDIT_CARD,"restaurant,fast-food,mcd"
2025-10-19,100000,"RotiO",Food & Dining,CREDIT_CARD,"bakery,coffee"
2025-10-19,17000,"Grab (QAV)",Transport,CREDIT_CARD,"ride-hailing,grab"
2025-10-19,17000,"Grab (AAV)",Transport,CREDIT_CARD,"ride-hailing,grab"
2025-10-19,17000,"Grab (4AV)",Transport,CREDIT_CARD,"ride-hailing,grab"
2025-10-19,23000,"Grab (9AV)",Transport,CREDIT_CARD,"ride-hailing,grab"
2025-10-19,72650,"Grab (DAV)",Transport,CREDIT_CARD,"ride-hailing,grab"
2025-10-20,100000,"Hexa Mitra Sistem PT-HO - Bensin",Transport,CREDIT_CARD,"fuel,car"
2025-10-20,37875,"Grab (DAV)",Transport,CREDIT_CARD,"ride-hailing,grab"
2025-10-20,141000,"Grab (LAV)",Transport,CREDIT_CARD,"ride-hailing,grab"
2025-10-21,11078,"PT Harta Tahta Sukaria",Income/Other,CREDIT_CARD,"reimbursement,other"
2025-10-21,17800,"Idm",Software,CREDIT_CARD,"idm,software"
2025-10-21,85000,"Bintang Ban",Transport,CREDIT_CARD,"car,maintenance,tyre"
2025-10-22,93500,"Beli Jas Hujan di Shell",Shopping,CREDIT_CARD,"raincoat,gear"
2025-10-22,44650,"Grab (DAV)",Transport,CREDIT_CARD,"ride-hailing,grab"
2025-10-22,18200,"Idm",Software,CREDIT_CARD,"idm,software"
